verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
235056,GLH[,MT,Jeremiah,1,3,GLWT,W JHJ B JMJ JHWJQJM BN J>CJHW MLK JHWDH <D TM <CTJ <FRH CNH L YDQJHW BN J>CJHW MLK JHWDH <D GLWT JRWCLM B XDC H XMJCJ,<D GLWT JRWCLM B XDC H XMJCJ,JRWCLM,no complement,no complement,,,,,,,,,,,qal,infc,,,,,,,,,
235114,HLK[,MT,Jeremiah,1,7,TLK,W J>MR JHWH >LJ >L T>MR N<R >NKJ KJ <L KL >CR >CLXK TLK W >T KL >CR >YWK TDBR,KJ <L KL TLK,,<L KL,<L KL/,,0,prep,,,und,subs,simple,,,qal,impf,,,<L,,,,,,
235257,BW>[,MT,Jeremiah,1,15,B>W,KJ HNNJ QR> L KL MCPXWT MMLKWT YPWNH N>M JHWH W B>W W NTNW >JC KS>W PTX C<RJ JRWCLM W <L KL XWMTJH SBJB W <L KL <RJ JHWDH,W B>W,,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
239980,Y<D[,MT,Jeremiah,10,5,JY<DW,K TMR MQCH HMH W L> JDBRW NFW> JNFW> KJ L> JY<DW >L TJR>W MHM KJ L> JR<W W GM HJVJB >JN >WTM,KJ L> JY<DW,,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
2032619,Y<D[,4Q71,Jeremiah,10,5,JY<DW,K TMR MQCH HMH W L> JDBRW NFW> JNFW> KJ L> JY<DW >L TJR>W MHM KJ L> JR<W W GM HJVJB >JN >WTM,None,None,,,,,,,,,,,0,,qal,impf,,,,,,,,,
2032599,BW>[,4Q71,Jeremiah,10,9,JWB>,KSP MRQ< M TRCJC JWB> W ZHB M >WPZ W JDJ YWRP M<FH XKMJM KLM TKLT W >RGMN LBWCM,None,None,,,,,,,,,,,0,,hof,impf,,,,,,,,,
2033134,<LH[,4Q72,Jeremiah,10,13,J<LH,HMWN MJM B CMJM W J<LH NF>JM M QYH >RY BRQJM L MVR <FH,None,None,,,,,,,,,,,0,,hif,wayq,,,,,,,,,
2032679,<LH[,4Q71,Jeremiah,10,13,J<LH,L QWL TTW HMWN MJM B CMJM W J<LH NF>JM M QYH >RY BRQJM L MVR <FH W JWY> RWX M >YRTJW,None,None,,,,,,,,,,,0,,hif,wayq,,,,,,,,,
2032689,JY>[,4Q71,Jeremiah,10,13,JWY>,L QWL TTW HMWN MJM B CMJM W J<LH NF>JM M QYH >RY BRQJM L MVR <FH W JWY> RWX M >YRTJW,None,None,,,,,,,,,,,0,,hif,wayq,,,,,,,,,
2030654,<LH[,4Q70,Jeremiah,10,13,J<LH,L QWL TTW HMWN MJM B CMJM W J<LH NF>JM M QYH >RY BRQJM L MVR <FH W JWY> RWX M >YRTJW,None,None,,,,,,,,,,,0,,hif,wayq,,,,,,,,,
2030664,JY>[,4Q70,Jeremiah,10,13,JWY>,L QWL TTW HMWN MJM B CMJM W J<LH NF>JM M QYH >RY BRQJM L MVR <FH W JWY> RWX M >YRTJW,None,None,,,,,,,,,,,0,,hif,wayq,,,,,,,,,
240224,JY>[,MT,Jeremiah,10,20,JY>NJ,>HLJ CDD W KL MJTRJ NTQW BNJ JY>NJ W >JNM >JN NVH <WD >HLJ W MQJM JRJ<WTJ,BNJ JY>NJ,BNJ,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
2030698,HLK[,4Q70,Jeremiah,10,23,HLK,JD<TJ JHWH KJ L> L >DM DRKW L> L >JC HLK W HKJN >T Y<DW,None,None,,,,,,,,,,,0,,qal,ptca,,,,,,,,,
240502,HLK[,MT,Jeremiah,11,8,JLKW,W L> CM<W W L> HVW >T >ZNM W JLKW >JC B CRJRWT LBM H R< W >BJ> <LJHM >T KL DBRJ H BRJT H Z>T >CR YWJTJ L <FWT W L> <FW,W JLKW >JC B CRJRWT LBM H R<,,B CRJRWT LBM H R<,B CRRWT/ LB/ H R</,,0,prep,,,det,subs,complex,,,qal,wayq,,,B,,,,,,
240510,BW>[,MT,Jeremiah,11,8,>BJ>,W L> CM<W W L> HVW >T >ZNM W JLKW >JC B CRJRWT LBM H R< W >BJ> <LJHM >T KL DBRJ H BRJT H Z>T >CR YWJTJ L <FWT W L> <FW,W >BJ> <LJHM >T KL DBRJ H BRJT H Z>T,,<LJHM,<L,,0,prep,prsf,,det,prsf,simple,,,hif,wayq,,,<L,,,,,,
240539,CWB[,MT,Jeremiah,11,10,CBW,CBW <L <WNT >BWTM H R>CNJM >CR M>NW L CMW< >T DBRJ W HMH HLKW >XRJ >LHJM >XRJM L <BDM HPRW BJT JFR>L W BJT JHWDH >T BRJTJ >CR KRTJ >T >BWTM,CBW <L <WNT >BWTM H R>CNJM,,<L <WNT >BWTM H R>CNJM,<L <WN/ >B/ H R>CWN/,,0,prep,,,det,subs,complex,,,qal,perf,,,<L,,,,,,
240553,HLK[,MT,Jeremiah,11,10,HLKW,CBW <L <WNT >BWTM H R>CNJM >CR M>NW L CMW< >T DBRJ W HMH HLKW >XRJ >LHJM >XRJM L <BDM HPRW BJT JFR>L W BJT JHWDH >T BRJTJ >CR KRTJ >T >BWTM,W HMH HLKW >XRJ >LHJM >XRJM,HMH,>XRJ >LHJM >XRJM,>XR/ >LHJM/ >XR=/,,0,vc,,,und,subs,complex,,,qal,perf,,,,,,,,,
