verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_lex,motion_type
52535,QRB[,MT,Leviticus,1,2,JQRJB,DBR >L BNJ JFR>L W >MRT >LHM >DM KJ JQRJB MKM QRBN L JHWH MN H BHMH MN H BQR W MN H Y>N TQRJBW >T QRBNKM,KJ JQRJB MKM QRBN L JHWH,,L JHWH,0,,,,,,,,hif,impf,L,,,,,,,,
52550,QRB[,MT,Leviticus,1,2,TQRJBW,DBR >L BNJ JFR>L W >MRT >LHM >DM KJ JQRJB MKM QRBN L JHWH MN H BHMH MN H BQR W MN H Y>N TQRJBW >T QRBNKM,MN H BHMH MN H BQR W MN H Y>N TQRJBW >T QRBNKM,,MN H BHMH MN H BQR W MN H Y>N,0,,,,,,,,hif,impf,MN,MN,MN,,,,,,
1969253,QRB[,4Q25,Leviticus,1,2,JQRJB,DBR >L BNJ JFR>L W >MRT >LHM >DM KJ JQRJB MKM QRBN L JHWH MN H BHMH MN H BQR W MN H Y>N TQRJBW >T QRBNKM,None,None,,,,,,,,0,000 00 000 00000 0 0000 00000 000 00 00000 0000 0000 0 0000 00 0 0000 00 0 000 0 00 0 000 000000 00 0000000 00,hifil,impf,,,,,,,,,
1969268,QRB[,4Q25,Leviticus,1,2,TQRJBW,DBR >L BNJ JFR>L W >MRT >LHM >DM KJ JQRJB MKM QRBN L JHWH MN H BHMH MN H BQR W MN H Y>N TQRJBW >T QRBNKM,None,None,,,,,,,,0,000 00 000 00000 0 0000 00000 000 00 00000 0000 0000 0 0000 00 0 0000 00 0 000 0 00 0 000 000000 00 0000000 00,hifil,impf,,,,,,,,,
52561,QRB[,MT,Leviticus,1,3,JQRJBNW,>M <LH QRBNW MN H BQR ZKR TMJM JQRJBNW >L PTX >HL MW<D JQRJB >TW L RYNW L PNJ JHWH,JQRJBNW,,no complement,,,,,,,,,hif,impf,,,,,,,,,
52566,QRB[,MT,Leviticus,1,3,JQRJB,>M <LH QRBNW MN H BQR ZKR TMJM JQRJBNW >L PTX >HL MW<D JQRJB >TW L RYNW L PNJ JHWH,>L PTX >HL MW<D JQRJB >TW L RYNW L PNJ JHWH,,>L PTX >HL MW<D,0,,,,,,,,hif,impf,>L,,,,,,,,
1969280,QRB[,4Q25,Leviticus,1,3,JQRJBNW,>M <LH QRBNW MN H BQR ZKR TMM JQRJBNW >L PTX >HL MW<D JQRJB >TW L RYNW L PNJ JHWH,None,None,,,,,,,,0,00 000 000000 00 0 000 000 0010 00000000 00 000 000 0000 00000 0000 0 00000 0 000 0000 00,hifil,impf,,,,,,,,,
1969285,QRB[,4Q25,Leviticus,1,3,JQRJB,>M <LH QRBNW MN H BQR ZKR TMM JQRJBNW >L PTX >HL MW<D JQRJB >TW L RYNW L PNJ JHWH,None,None,,,,,,,,0,00 000 000000 00 0 000 000 0010 00000000 00 000 000 0000 00000 0000 0 00000 0 000 0000 00,hifil,impf,,,,,,,,,
52596,QRB[,MT,Leviticus,1,5,HQRJBW,W CXV >T BN H BQR L PNJ JHWH W HQRJBW BNJ >HRN H KHNJM >T H DM W ZRQW >T H DM <L H MZBX SBJB >CR PTX >HL MW<D,W HQRJBW BNJ >HRN H KHNJM >T H DM,BNJ >HRN H KHNJM,no complement,,,,,,,,,hif,perf,,,,,,,,,
52710,QRB[,MT,Leviticus,1,10,JQRJBNW,W >M MN H Y>N QRBNW MN H KFBJM >W MN H <ZJM L <LH ZKR TMJM JQRJBNW,JQRJBNW,,no complement,,,,,,,,,hif,impf,,,,,,,,,
52772,QRB[,MT,Leviticus,1,13,HQRJB,W H QRB W H KR<JM JRXY B MJM W HQRJB H KHN >T H KL W HQVJR H MZBXH <LH HW> >CH RJX NJXX L JHWH,W HQRJB H KHN >T H KL,H KHN,no complement,,,,,,,,,hif,perf,,,,,,,,,
1966798,QRB[,4Q24,Leviticus,1,13,HQRJB,W H QRB W H KR<JM JRXY B MJM W HQRJB H KHN >T H KL W HQVJR H MZBXH <LH HW> >CH RJX NJXWX L JHWH,None,None,,,,,,,,1,0 0 000 0 0 00000 00000 0 000 0 00000 0 000 00 0 00 0 00000 0 000000 000 000 000 000 00000 0 0000 00,hifil,perf,,,,,,,,,
1951860,QRB[,4Q17,Leviticus,1,13,HQRJB,W H QRB W H KR<JM JRXY B MJM W HQRJB H KHN >T H KL W HQVJR H MZBXH <LH HW> >CH RJX NJXX L JHWH,None,None,,,,,,,,1,0 0 000 0 0 00000 0000 0 000 0 00000 0 000 00 0 00 0 00000 0 000000 000 000 000 000 0000 0 0000 00,hifil,perf,,,,,,,,,
52799,QRB[,MT,Leviticus,1,14,HQRJB,W >M MN H <WP <LH QRBNW L JHWH W HQRJB MN H TRJM >W MN BNJ H JWNH >T QRBNW,W HQRJB MN H TRJM >W MN BNJ H JWNH >T QRBNW,,MN H TRJM >W MN BNJ H JWNH,0,,,,,,,,hif,perf,MN,MN,,,,,,,
